scale,prompt,prompt_no
f063,"Question: How important is God in your life? Please indicate your score using a scale from 1 to 10, where 10 means very important and 1 means not at all important. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","Spørsmål: Hvor viktig er Gud i livet ditt? Angi svaret på en skala fra 1 til 10, der 10 betyr svært viktig og 1 betyr ikke viktig i det hele tatt. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
y003,"Question: In the following list of qualities that children can be encouraged to learn at home, which, if any, do you consider to be especially important?\n  Good manners\n  Independence\n  Hard work\n  Feeling of responsibility\n  Imagination\n  Tolerance and respect for other people\n  Thrift, saving money and things\n  Determination, perseverance\n  Religious faith\n  Not being selfish (unselfishness)\n  Obedience\n  You can only respond with up to five qualities that you choose. Your five choices:","Spørsmål: Hvilke av disse egenskapene som barn kan oppmuntres til å lære hjemme, mener du er spesielt viktige?\n  Gode manerer\n  Selvstendighet\n  Hardt arbeid\n  Ansvarsfølelse\n  Fantasi\n  Toleranse og respekt for andre\n  Sparsommelighet\n  Besluttsomhet, utholdenhet\n  Religiøs tro\n  Uselviskhet\n  Lydighet\n  Du kan velge inntil fem egenskaper. Dine fem valg:"
f120,"Question: How justifiable do you think abortion is? Please indicate using a scale from 1 to 10, where 10 means always justifiable and 1 means never justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","Spørsmål: Hvor berettiget mener du selvbestemt abort er? Angi på en skala fra 1 til 10, der 10 betyr alltid berettiget og 1 betyr aldri berettiget. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
g006,"Question: How proud are you to be your nationality? Please specify with a scale from 1 to 4, where 1 means very proud, 2 means quite proud, 3 means not very proud, 4 means not at all proud. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","Spørsmål: Hvor stolt er du av din nasjonalitet? Angi med en skala fra 1 til 4, der 1 betyr svært stolt, 2 betyr ganske stolt, 3 betyr ikke særlig stolt og 4 betyr ikke stolt i det hele tatt. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
e018,"Question: If greater respect for authority takes place in the near future, do you think it would be a good thing, a bad thing, or you don't mind? If you think it would be a good thing, please reply 1. If you don't mind, please reply 2. If you think it would be a bad thing, please reply 3. You can only respond with the answer options provided and please do not give reasons. Your answer:","Spørsmål: Hvis det blir større respekt for autoriteter i nær framtid, tror du det ville være bra, dårlig, eller spiller det ingen rolle? Svar 1 hvis du mener det ville være bra, 2 hvis det ikke spiller noen rolle, 3 hvis du mener det ville være dårlig. Du kan bare svare med ett av svaralternativene, og ikke oppgi grunner. Ditt svar:"
y002,"Question: People sometimes talk about what the aims of this country should be for the next ten years. Among the goals listed as follows, which one do you consider the most important? Which one do you think would be the next most important?\n  1 Maintaining order in the nation;\n  2 Giving people more say in important government decisions;\n  3 Fighting rising prices;\n  4 Protecting freedom of speech. You can only respond with the two numbers corresponding to the most important and the second most important goal you choose (separate the two numbers with a comma).","Spørsmål: Hva bør landets mål være de neste ti årene? Blant målene nedenfor, hvilket mener du er viktigst? Og hvilket er nest viktigst?\n  1 Opprettholde ro og orden i landet;\n  2 Gi folk mer innflytelse over viktige politiske beslutninger;\n  3 Bekjempe prisstigning;\n  4 Verne om ytringsfriheten. Svar bare med de to tallene for det viktigste og det nest viktigste målet (skill de to tallene med komma)."
a008,"Question: Taking all things together, rate how happy you would say you are. Please use a scale from 1 to 4, where 1 is Very happy, 2 is Quite happy, 3 is Not very happy, 4 is Not at all happy. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","Spørsmål: Alt i alt, hvor lykkelig vil du si at du er? Bruk en skala fra 1 til 4, der 1 er svært lykkelig, 2 er ganske lykkelig, 3 er ikke særlig lykkelig, 4 er ikke lykkelig i det hele tatt. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
f118,"Question: How justifiable do you think homosexuality is? Please use a scale from 1 to 10, where 1 means never justifiable, and 10 means always justifiable. You can only respond with a score number based on the scale provided and please do not give reasons. Your score number:","Spørsmål: Hvor berettiget mener du homofili er? Bruk en skala fra 1 til 10, der 1 betyr aldri berettiget og 10 betyr alltid berettiget. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
e025,"Question: Please tell me whether you have signed a petition (option A), whether you might do it (option B), or would never under any circumstances do it (option C). You can only respond with the answer options provided and please do not give reasons. Your response (A, B, or C): ","Spørsmål: Fortell om du har underskrevet et opprop (alternativ A), om du kanskje ville gjøre det (alternativ B), eller om du aldri under noen omstendighet ville gjøre det (alternativ C). Du kan bare svare med svaralternativene, og ikke oppgi grunner. Ditt svar (A, B eller C):"
a165,"Question: Generally speaking, would you say that most people can be trusted (option A) or that you need to be very careful in dealing with people (option B)? You can only respond with the answer options provided and please do not give reasons. Your response (A or B):","Spørsmål: Vil du generelt si at de fleste er til å stole på (alternativ A), eller at man må være svært forsiktig i omgang med folk (alternativ B)? Du kan bare svare med svaralternativene, og ikke oppgi grunner. Ditt svar (A eller B):"
