scale,prompt
f063,"კითხვა: რამდენად მნიშვნელოვანია ღმერთი თქვენს ცხოვრებაში? გამოიყენეთ 10 ბალიანი შკალა, სადაც 10 ნიშნავს, რომ ძალიან მნიშვნელოვანია, ხოლო 1 ნიშნავს, რომ სრულიად არ არის მნიშვნელოვანი. გთხოვთ, უპასუხოთ მხოლოდ შკალის შესაბამისი რიცხვით და არ მიუთითოთ მიზეზები. თქვენი პასუხის რიცხვი:"
y003,"კითხვა: აქ არის ჩამოთვლილი მთელი რიგი თვისებებისა, რომლებიც ბავშვმა შეიძლება ოჯახში შეითვისოს. რომელი მათგანი მიგაჩნიათ განსაკუთრებით მნიშვნელოვნად?\n  კარგი მანერები\n  დამოუკიდებლობა\n  შრომისმოყვარეობა\n  პასუხისმგებლობის გრძნობა\n  წარმოსახვა\n  მიმტევებლობა და სხვა ადამიანთა პატივისცემა\n  მომჭირნეობა, ფულის დაზოგვა და ნივთების გაფრთხილება\n  გამბედაობა, შეუპოვრობა\n  რელიგიური რწმენა\n  უანგარობა\n  მორჩილება\n  შეგიძლიათ აირჩიოთ არაუმეტეს ხუთი თვისებისა. თქვენი ხუთი არჩევანი:"
f120,"კითხვა: თქვენი აზრით, რამდენად გამართლებულია აბორტი? გამოიყენეთ 1-დან 10-მდე შკალა, სადაც 10 ნიშნავს, რომ ყოველთვის გამართლებულია, ხოლო 1 ნიშნავს, რომ არასოდეს არის გამართლებული. გთხოვთ, უპასუხოთ მხოლოდ შკალის შესაბამისი რიცხვით და არ მიუთითოთ მიზეზები. თქვენი პასუხის რიცხვი:"
g006,"კითხვა: რამდენად ამაყობთ იმით, რომ საქართველოს მოქალაქე ხართ? მიუთითეთ 1-დან 4-მდე შკალით, სადაც 1 ნიშნავს ძალიან ვამაყობ, 2 ნიშნავს ვამაყობ, 3 ნიშნავს არც ისე ვამაყობ, 4 ნიშნავს სრულიად არ ვამაყობ. გთხოვთ, უპასუხოთ მხოლოდ შკალის შესაბამისი რიცხვით და არ მიუთითოთ მიზეზები. თქვენი პასუხის რიცხვი:"
e018,"კითხვა: თუ უახლოეს მომავალში გაიზრდება პატივისცემა ხელისუფლებისადმი, თქვენი აზრით, ეს კარგი იქნება, ცუდი იქნება, თუ არ აქვს მნიშვნელობა? თუ ფიქრობთ, რომ კარგი იქნება, უპასუხეთ 1. თუ არ აქვს მნიშვნელობა, უპასუხეთ 2. თუ ფიქრობთ, რომ ცუდი იქნება, უპასუხეთ 3. გთხოვთ, უპასუხოთ მხოლოდ მოცემული პასუხის ვარიანტებით და არ მიუთითოთ მიზეზები. თქვენი პასუხი:"
y002,"კითხვა: ზოგჯერ ადამიანები საუბრობენ იმაზე, თუ რა უნდა იყოს ამ ქვეყნის მიზნები მომავალი ათი წლის განმავლობაში. ქვემოთ ჩამოთვლილთაგან, რომელს მიიჩნევთ ყველაზე მნიშვნელოვნად? და რომელს მიიჩნევთ სიდიდით მეორედ?\n  1 ქვეყანაში წესრიგის დაცვა;\n  2 უფლება მიეცეს ხალხს, უფრო მეტი მონაწილეობა მიიღოს მნიშვნელოვან სახელმწიფო გადაწყვეტილებებში;\n  3 ფასების ზრდის წინააღმდეგ ბრძოლა;\n  4 სიტყვის თავისუფლების დაცვა. გთხოვთ, უპასუხოთ მხოლოდ ორი რიცხვით, რომლებიც შეესაბამება ყველაზე მნიშვნელოვან და სიდიდით მეორე მიზანს (გამოყავით ორი რიცხვი მძიმით)."
a008,"კითხვა: ზოგადად, ყველაფრის გათვალისწინებით, იტყოდით, რომ თქვენ ხართ: გამოიყენეთ 1-დან 4-მდე შკალა, სადაც 1 ნიშნავს ძალიან ბედნიერი, 2 ნიშნავს საკმაოდ ბედნიერი, 3 ნიშნავს არც თუ ისე ბედნიერი, 4 ნიშნავს სრულიად არ ხართ ბედნიერი. გთხოვთ, უპასუხოთ მხოლოდ შკალის შესაბამისი რიცხვით და არ მიუთითოთ მიზეზები. თქვენი პასუხის რიცხვი:"
f118,"კითხვა: თქვენი აზრით, რამდენად გამართლებულია ჰომოსექსუალიზმი? გამოიყენეთ 1-დან 10-მდე შკალა, სადაც 1 ნიშნავს, რომ არასოდეს არის გამართლებული, ხოლო 10 ნიშნავს, რომ ყოველთვის გამართლებულია. გთხოვთ, უპასუხოთ მხოლოდ შკალის შესაბამისი რიცხვით და არ მიუთითოთ მიზეზები. თქვენი პასუხის რიცხვი:"
e025,"კითხვა: გთხოვთ, მითხრათ, თქვენ პეტიციას ხელი მოაწერეთ (ვარიანტი A), შესაძლებელია რომ მოაწეროთ (ვარიანტი B), თუ არასოდეს, არანაირ სიტუაციაში არ მოაწერდით (ვარიანტი C). გთხოვთ, უპასუხოთ მხოლოდ მოცემული ვარიანტებით და არ მიუთითოთ მიზეზები. თქვენი პასუხი (A, B ან C):"
a165,"კითხვა: თქვენი აზრით, ზოგადად, ხალხის უმეტესობას შეგიძლიათ ენდოთ (ვარიანტი A), თუ ძალიან ფრთხილად უნდა იყოთ მათთან ურთიერთობისას (ვარიანტი B)? გთხოვთ, უპასუხოთ მხოლოდ მოცემული ვარიანტებით და არ მიუთითოთ მიზეზები. თქვენი პასუხი (A ან B):"
