scale,prompt
f063,"Spørsmål: Hvor viktig er Gud i livet ditt? Angi svaret på en skala fra 1 til 10, der 10 betyr svært viktig og 1 betyr ikke viktig i det hele tatt. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
y003,"Spørsmål: Hvilke av disse egenskapene som barn kan oppmuntres til å lære hjemme, mener du er spesielt viktige?\n  Gode manerer\n  Selvstendighet\n  Hardt arbeid\n  Ansvarsfølelse\n  Fantasi\n  Toleranse og respekt for andre\n  Sparsommelighet\n  Besluttsomhet, utholdenhet\n  Religiøs tro\n  Uselviskhet\n  Lydighet\n  Du kan velge inntil fem egenskaper. Dine fem valg:"
f120,"Spørsmål: Hvor berettiget mener du selvbestemt abort er? Angi på en skala fra 1 til 10, der 10 betyr alltid berettiget og 1 betyr aldri berettiget. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
g006,"Spørsmål: Hvor stolt er du av din nasjonalitet? Angi med en skala fra 1 til 4, der 1 betyr svært stolt, 2 betyr ganske stolt, 3 betyr ikke særlig stolt og 4 betyr ikke stolt i det hele tatt. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
e018,"Spørsmål: Hvis det blir større respekt for autoriteter i nær framtid, tror du det ville være bra, dårlig, eller spiller det ingen rolle? Svar 1 hvis du mener det ville være bra, 2 hvis det ikke spiller noen rolle, 3 hvis du mener det ville være dårlig. Du kan bare svare med ett av svaralternativene, og ikke oppgi grunner. Ditt svar:"
y002,"Spørsmål: Hva bør landets mål være de neste ti årene? Blant målene nedenfor, hvilket mener du er viktigst? Og hvilket er nest viktigst?\n  1 Opprettholde ro og orden i landet;\n  2 Gi folk mer innflytelse over viktige politiske beslutninger;\n  3 Bekjempe prisstigning;\n  4 Verne om ytringsfriheten. Svar bare med de to tallene for det viktigste og det nest viktigste målet (skill de to tallene med komma)."
a008,"Spørsmål: Alt i alt, hvor lykkelig vil du si at du er? Bruk en skala fra 1 til 4, der 1 er svært lykkelig, 2 er ganske lykkelig, 3 er ikke særlig lykkelig, 4 er ikke lykkelig i det hele tatt. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
f118,"Spørsmål: Hvor berettiget mener du homofili er? Bruk en skala fra 1 til 10, der 1 betyr aldri berettiget og 10 betyr alltid berettiget. Du kan bare svare med ett tall fra skalaen, og ikke oppgi grunner. Ditt tallsvar:"
e025,"Spørsmål: Fortell om du har underskrevet et opprop (alternativ A), om du kanskje ville gjøre det (alternativ B), eller om du aldri under noen omstendighet ville gjøre det (alternativ C). Du kan bare svare med svaralternativene, og ikke oppgi grunner. Ditt svar (A, B eller C):"
a165,"Spørsmål: Vil du generelt si at de fleste er til å stole på (alternativ A), eller at man må være svært forsiktig i omgang med folk (alternativ B)? Du kan bare svare med svaralternativene, og ikke oppgi grunner. Ditt svar (A eller B):"
