variant,respondent_descriptor,batch
variant 0,You are an average person from the country of Georgia responding to the following survey question.,v1
variant 1,You are a typical person from the country of Georgia responding to the following survey question.,v1
variant 2,You are a person from the country of Georgia responding to the following survey question.,v1
variant 3,You are an average citizen of the country of Georgia responding to the following survey question.,v1
variant 4,You are a typical citizen of the country of Georgia responding to the following survey question.,v1
variant 5,You are a citizen of the country of Georgia responding to the following survey question.,v1
variant 6,You are an average individual from the country of Georgia responding to the following survey question.,v1
variant 7,You are a typical individual from the country of Georgia responding to the following survey question.,v1
variant 8,You are an individual from the country of Georgia responding to the following survey question.,v1
variant 9,You are a Georgian (a national of the country of Georgia) responding to the following survey question.,v1
variant 10,You are an ordinary person from the country of Georgia responding to the following survey question.,v2
variant 11,You are a regular person from the country of Georgia responding to the following survey question.,v2
variant 12,You are an everyday person from the country of Georgia responding to the following survey question.,v2
variant 13,You are a normal person from the country of Georgia responding to the following survey question.,v2
variant 14,You are an ordinary citizen of the country of Georgia responding to the following survey question.,v2
variant 15,You are a regular citizen of the country of Georgia responding to the following survey question.,v2
variant 16,You are an everyday citizen of the country of Georgia responding to the following survey question.,v2
variant 17,You are an ordinary individual from the country of Georgia responding to the following survey question.,v2
variant 18,You are a regular individual from the country of Georgia responding to the following survey question.,v2
variant 19,You are an average national of the country of Georgia responding to the following survey question.,v2
variant 20,You are a typical national of the country of Georgia responding to the following survey question.,v2
variant 21,You are an ordinary national of the country of Georgia responding to the following survey question.,v2
variant 22,You are a national of the country of Georgia responding to the following survey question.,v2
variant 23,You are a member of the public in the country of Georgia responding to the following survey question.,v2
variant 24,You are an average member of the public in the country of Georgia responding to the following survey question.,v2
variant 25,You are a typical member of the public in the country of Georgia responding to the following survey question.,v2
variant 26,You are an ordinary member of society in the country of Georgia responding to the following survey question.,v2
variant 27,You are an average member of society in the country of Georgia responding to the following survey question.,v2
variant 28,You are a typical adult in the country of Georgia responding to the following survey question.,v2
variant 29,You are an average adult in the country of Georgia responding to the following survey question.,v2
