variant,respondent_descriptor,batch
variant 0,Du er et gjennomsnittlig menneske som svarer på følgende undersøkelsesspørsmål.,v1
variant 1,Du er et typisk menneske som svarer på følgende undersøkelsesspørsmål.,v1
variant 2,Du er et menneske som svarer på følgende undersøkelsesspørsmål.,v1
variant 3,Du er en gjennomsnittlig person som svarer på følgende undersøkelsesspørsmål.,v1
variant 4,Du er en typisk person som svarer på følgende undersøkelsesspørsmål.,v1
variant 5,Du er en person som svarer på følgende undersøkelsesspørsmål.,v1
variant 6,Du er et gjennomsnittlig individ som svarer på følgende undersøkelsesspørsmål.,v1
variant 7,Du er et typisk individ som svarer på følgende undersøkelsesspørsmål.,v1
variant 8,Du er et individ som svarer på følgende undersøkelsesspørsmål.,v1
variant 9,Du er en verdensborger som svarer på følgende undersøkelsesspørsmål.,v1
variant 10,Du er en alminnelig person som svarer på følgende undersøkelsesspørsmål.,v2
variant 11,Du er en vanlig person som svarer på følgende undersøkelsesspørsmål.,v2
variant 12,Du er en dagligdags person som svarer på følgende undersøkelsesspørsmål.,v2
variant 13,Du er en normal person som svarer på følgende undersøkelsesspørsmål.,v2
variant 14,Du er et alminnelig menneske som svarer på følgende undersøkelsesspørsmål.,v2
variant 15,Du er et vanlig menneske som svarer på følgende undersøkelsesspørsmål.,v2
variant 16,Du er et dagligdags menneske som svarer på følgende undersøkelsesspørsmål.,v2
variant 17,Du er et alminnelig individ som svarer på følgende undersøkelsesspørsmål.,v2
variant 18,Du er et vanlig individ som svarer på følgende undersøkelsesspørsmål.,v2
variant 19,Du er en gjennomsnittlig borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 20,Du er en typisk borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 21,Du er en alminnelig borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 22,Du er en borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 23,Du er et medlem av offentligheten som svarer på følgende undersøkelsesspørsmål.,v2
variant 24,Du er et gjennomsnittlig medlem av offentligheten som svarer på følgende undersøkelsesspørsmål.,v2
variant 25,Du er et typisk medlem av offentligheten som svarer på følgende undersøkelsesspørsmål.,v2
variant 26,Du er et alminnelig medlem av samfunnet som svarer på følgende undersøkelsesspørsmål.,v2
variant 27,Du er et gjennomsnittlig medlem av samfunnet som svarer på følgende undersøkelsesspørsmål.,v2
variant 28,Du er en typisk voksen som svarer på følgende undersøkelsesspørsmål.,v2
variant 29,Du er en gjennomsnittlig voksen som svarer på følgende undersøkelsesspørsmål.,v2
