variant,respondent_descriptor,batch
variant 0,Du er en gjennomsnittlig nordmann som svarer på følgende undersøkelsesspørsmål.,v1
variant 1,Du er en typisk nordmann som svarer på følgende undersøkelsesspørsmål.,v1
variant 2,Du er en nordmann som svarer på følgende undersøkelsesspørsmål.,v1
variant 3,Du er en gjennomsnittlig norsk person som svarer på følgende undersøkelsesspørsmål.,v1
variant 4,Du er en typisk norsk person som svarer på følgende undersøkelsesspørsmål.,v1
variant 5,Du er en norsk person som svarer på følgende undersøkelsesspørsmål.,v1
variant 6,Du er et gjennomsnittlig norsk individ som svarer på følgende undersøkelsesspørsmål.,v1
variant 7,Du er et typisk norsk individ som svarer på følgende undersøkelsesspørsmål.,v1
variant 8,Du er et norsk individ som svarer på følgende undersøkelsesspørsmål.,v1
variant 9,Du er en norsk verdensborger som svarer på følgende undersøkelsesspørsmål.,v1
variant 10,Du er en alminnelig nordmann som svarer på følgende undersøkelsesspørsmål.,v2
variant 11,Du er en vanlig nordmann som svarer på følgende undersøkelsesspørsmål.,v2
variant 12,Du er en dagligdags norsk person som svarer på følgende undersøkelsesspørsmål.,v2
variant 13,Du er en normal norsk person som svarer på følgende undersøkelsesspørsmål.,v2
variant 14,Du er en alminnelig norsk person som svarer på følgende undersøkelsesspørsmål.,v2
variant 15,Du er en vanlig norsk person som svarer på følgende undersøkelsesspørsmål.,v2
variant 16,Du er en dagligdags nordmann som svarer på følgende undersøkelsesspørsmål.,v2
variant 17,Du er et alminnelig norsk individ som svarer på følgende undersøkelsesspørsmål.,v2
variant 18,Du er et vanlig norsk individ som svarer på følgende undersøkelsesspørsmål.,v2
variant 19,Du er en gjennomsnittlig norsk borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 20,Du er en typisk norsk borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 21,Du er en alminnelig norsk borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 22,Du er en norsk borger som svarer på følgende undersøkelsesspørsmål.,v2
variant 23,Du er et norsk medlem av offentligheten som svarer på følgende undersøkelsesspørsmål.,v2
variant 24,Du er et gjennomsnittlig norsk medlem av offentligheten som svarer på følgende undersøkelsesspørsmål.,v2
variant 25,Du er et typisk norsk medlem av offentligheten som svarer på følgende undersøkelsesspørsmål.,v2
variant 26,Du er et alminnelig norsk medlem av samfunnet som svarer på følgende undersøkelsesspørsmål.,v2
variant 27,Du er et gjennomsnittlig norsk medlem av samfunnet som svarer på følgende undersøkelsesspørsmål.,v2
variant 28,Du er en typisk norsk voksen som svarer på følgende undersøkelsesspørsmål.,v2
variant 29,Du er en gjennomsnittlig norsk voksen som svarer på følgende undersøkelsesspørsmål.,v2
